Col1,Col2,Col3,Preprocessed Col3
4286,2,@NoMeek_JustMilz If they trash in yr 3 or 4 he'll waive it lol,@ nomeek | justmilz ||| trash yr ||| 'll waive lol
4287,2,@NoShtickZone Charlie Brown,@ noshtickzone charlie brown
A Christmas Story,,"",""
"Rudolph, but only because of the island of misfit toys.",,"",""
4288,1,@NoShtickZone I called him a pussy and got blocked real quick by him and Bobby Kelly. I cant say I upset about it.,@ noshtickzone pussy block real quick bobby kelly ||| say upset
4289,1,"@NoiseyMusic no comparison the Beatles are a bunch of cunts, but the band that matters the most is The Faces IMO. Stones second.",@ noiseymusic comparison beatle bunch cunt | band matter face imo ||| stone second
4290,1,@NorahODonnell dishing Texas trash talking pts with racist @jdickerson maybe if GBush had apologize for all his sins he wouldn't be hiding,@ norahodonnell dish texas trash talk pts racist @ jdickerson maybe ||| gbush apologize sin hide
4291,1,@NoreigaStacks he forced it lol mad bitches came to my mind thru every bar,@ noreigastacks force lol mad bitch come mind bar
4292,2,@NotEvanLarkin @bbcollins32 birds of a feather flock together y'all &#128037;&#128035;,@ notevanlarkin @ bbcollins32 bird feather flock y'all |
4293,1,@NotEvanLarkin FaceTime me nigger,@ notevanlarkin facetime nigger
4294,1,"@NotEvanLarkin hope not, I love dat bitch",@ notevanlarkin hope ||| love dat bitch
4295,1,@NotReallyGRyan think its cause she saw me doing biceps &#128527;&#128557;&#128514; lmao jk im still a bitch !&#128077;,@ notreallygryan think cause saw bicep | | | lmao jk im bitch |
4296,1,@NotoriousBM95 @Buckm00se fucking stupid crackers,@ notoriousbm95 @ buckm00se fuck stupid cracker
4297,1,@NotoriousBM95 @MANIAC3X fucking creepy ass nigguh lmao,@ notoriousbm95 @ maniac3x fuck creepy ass nigguh lmao
4298,0,@NotoriousBM95 @gezus__ @Rodriguez5_ your getting blocked faggot,@ notoriousbm95 @ gezus | @ rodriguez5 | your block faggot
4299,2,@Notsosweetpea I like brownies &#128546;,@ notsosweetpea like brownie
4300,2,@Notsosweetpea SOO when we hanging out and makin brownies!!,@ notsosweetpea soo hang makin brownie
4301,1,@Noworriezzzz basically we're mad at them for being hoes,@ noworriezz basically 're mad hoe
4302,1,@Nreid27 lmaoo you're the pussy who will call the cops. Also if I wanted to find yu I would. But I'm not gonna waste my time with you,@ nreid27 lmaoo you pussy cop ||| ||| want yu ||| gonna waste time you
4303,1,@Nubianreine_ you women. And when you getting money the hoes gone come so how does that sound gay ? Rather make money anyday,@ nubianreine | you woman ||| you money hoe come sound gay ||| money anyday
4304,1,@NumbersDnt_Lie Yeah them hoes straight ima grab that light blue pair,@ numbersdnt | lie yeah hoe straight ima grab light blue pair
4305,1,@NurbsTheOcho8 @tori_mills02 not dykes or anything&#128111;&#128539;&#128109;,@ nurbstheocho8 @ torus | mills02 dyke anythingand | |
4306,0,@NyJusDntGAF just like a nig to come home when ever they want,@ nyjusdntgaf just like nig come home ||| want
4307,1,@NyJusDntGAF no one cares nigger,@ nyjusdntgaf care nigger
4308,1,@NyJusDntGAF to late niggers died first,@ nyjusdntgaf late nigger die
4309,1,@NyJusDntGAF what's up nigger &#128513;,@ nyjusdntgaf 's nigger
4310,1,@O3_Millz @xDSmooth idk who gave that bitch my name,@ o3 | millz @ xdsmooth idk bitch
4311,1,@O3_Millz this bitch not tellin me,@ o3 | millz bitch tellin
4312,1,@O3_Millz white bitch?,@ o3 | millz white bitch
4313,1,@ODDBEAST bitch get yo duck ass off my shit,@ oddbeast bitch yo duck ass shit
4314,2,"@OG_Dakota lemme just throw a 302 in it, how's the tranny??",@ og | dakota lemme just throw | 's tranny
4315,0,@OG_HARM @moetzart @duckydynamo look at this nigger ass nigger shit right here,@ og | harm @ moetzart @ duckydynamo look nigger ass nigger shit right
4316,1,@OLE_VertyBstard @thereal_EMandM @Holt3 lay in it brother I'm a honky,@ ole | vertybstard @ thereal | emandm @ holt3 lay brother honky
4317,1,@OLE_VertyBstard Yankee noodle is fucking awesome ya bastard.,@ ole | vertybstard yankee noodle fuck awesome ya bastard
4318,1,@OLE_VertyBstard let a honky know man lol,@ ole | vertybstard let honky know man lol
4319,2,@OMFGITSOSCAR basic trash,@ omfgitsoscar basic trash
4320,1,@OMG_itsBrooke hey hoe,@ omg | itsbrooke hey hoe
4321,1,@OMGitsKariC ima call his retarded ass,@ omgitskaric ima retard ass
4322,1,@OTG_Kapo thats what i call it too !! Lol its beyond ghetto smh but man u needa quit playin and come back,@ otg | kapo thats ||| lol ghetto smh ||| man u needa quit playin come
4323,1,@OUBad just know a countryass old bitch in Tn. has ur back!,@ oubad just know countryass old bitch tn. ur
4324,1,@OVOmar23 thanks for the invite tho bitch,@ ovomar23 thank invite tho bitch
4325,0,@OVOtilUOverDose @flossinlawson11 niggers*,@ ovotiluoverdose @ flossinlawson11 nigger
4326,1,@OVOtilUOverDose your just building the pussy up lmao!,@ ovotiluoverdose your just build pussy lmao
4327,1,@O_ShitItsLaura haha because I'm too cool for them hoes lmao jk I got reported supposedly that I was a fake account &#128554;,@ o | shititslaura haha ||| cool hoe lmao jk report supposedly ||| fake account
4328,1,@O_beKnowing the bitch that took my phone,@ o | beknowing bitch phone
4329,1,"@Of_Angelis yep, which is messier/more dangerous/more environmentally-unfriendly than their retarded new spouts. @innov82bgr8",@ | angelis yep | messy | dangerous | environmentally | unfriendly retard new spout ||| @ innov82bgr8
4330,2,@OfficialCCane naah da twitter bird &#128542;,@ officialccane naah da twitter bird
4331,0,@OfficialSkai dont tell me what to do. fuck balls kike nigger cunt tits cocksucker chink spic piss bitch bastard pussy faggot.,@ officialskai dont tell ||| fuck ball kike nigger cunt tit cocksucker chink spic piss bitch bastard pussy faggot
4332,0,@OfficialSkaiS kill yourself ugly ass monkey looking shit,@ officialskais kill you ugly ass monkey look shit
4333,1,@Official_DCole you gonna be 33 years old with no bitches watch...lol,@ official | dcole you gonna year old bitch watch ||| lol
4334,1,@OhaiStepJ what a smelly hater bitch,@ ohaistepj smelly hater bitch
4335,1,@OhhhChad here come the desperate hoes &#128514;,@ ohhchad come desperate hoe
4336,2,@OlTimeBaseball @Yankees @PaulONeillYES that matters ?,@ oltimebaseball @ yankee @ pauloneillyes matter
4337,2,@OldManRo you should check it out... it aint animated and has Charlie Murphy in it,@ oldmanro you check ||| aint animate charlie murphy
4338,0,@Ole_Boy @m10eezy yes I'm white washed because I don't go around repping my hood and saying a bunch of ignorant nig terms.,@ ole | boy @ m10eezy yes white wash ||| repping hood say bunch ignorant nig term
4339,1,"@OleanderPlume But no joke I will say NO IT IS NOT an Oleander and wife will say Son of a bitch.. Ron, yes the hell it is get out your book",@ oleanderplume ||| joke say oleander ||| wife say son bitch ||| ron | yes hell your book
4340,1,@OliviaLuu3 Calm down you little Asian lol just go flip a bitch!,@ olivialuu3 calm you little asian lol just flip bitch
4341,1,@Omgitstamz this ho Korina is craycray.,@ omgitstamz ho korina craycray
4342,1,@OnThisCloud_9 fuck you bitch,@ onthiscloud | fuck you bitch
4343,1,@On_Point_Prg @Fempop @WendyDavisTexas Did you take a picture of your pussy I hope you super sized it because it's huge grand canyon size,@ | point | prg @ fempop @ wendydavistexas you picture your pussy hope you super size ||| huge grand canyon size
4344,1,"@On_Point_Prg @WendyDavisTexas @GregAbbott_TX boy talk about a,special kind of stupid far left is a under statement down retarded",@ | point | prg @ wendydavistexas @ gregabbott | tx boy talk ||| special kind stupid far leave statement retard
4345,1,@On_Point_Prg another keyboard commando in real life you hide like a little bitch,@ | point | prg keyboard commando real life you hide like little bitch
4346,1,@OnlyHipHopFacts ""don't get head from hoes with overbites"" @ScHoolBoyQ,@ onlyhiphopfacts " " head hoe overbite " " @ schoolboyq
4347,1,@OpalRose4UrSoul @duckydynamo @TreThreat it's a band negro,@ opalrose4ursoul @ duckydynamo @ trethreat band negro
4348,1,@OprahSideNigga @95ToInfinite,@ oprahsidenigga @ toinfinite
exotic bitches,,"",""
do exotic things,,"",""
these hoes aint loyal,,"",""
4349,1,@OptimusOdd mine will say ""the intimidator"" &#128514;&#128514; cause bitches can't handle it.&#128514;,@ optimusodd say " " intimidator " " | | ||| cause bitch handle it.and
4350,1,@Orangeone4 @SteveWorks4You..biggest liars ever ...republican teabagger asshats like stockboy #pinoccio,@ orangeone4 @ steveworks4you biggest liar ||| republican teabagger asshats like stockboy | pinoccio
4351,1,@Oreo @NHL if u zoom in you can see his hairy nipples,@ oreo @ nhl ||| u zoom you hairy nipple
4352,2,@OriginvlEpic in the trash,@ originvlepic trash
4353,1,@Oskzilla @yaseenxkahn sleep niggah! Lol,@ oskzilla @ yaseenxkahn sleep niggah ||| lol
4354,1,@Oskzilla I'll bitch slap you to the shadow realm!,@ oskzilla 'll bitch slap you shadow realm
4355,1,@Oskzilla come draw and paint with me niggah!,@ oskzilla come draw paint niggah
4356,0,@Oskzilla fuck you fag!,@ oskzilla fuck you fag
4357,0,@Oskzilla fuck you niggah you gay. Lol,@ oskzilla fuck you niggah you gay ||| lol
4358,1,@Oskzilla go to sleep you fag!,@ oskzilla sleep you fag
4359,1,@Oskzilla in San Diego niggah!,@ oskzilla san diego niggah
4360,1,@Oskzilla niggah you gay!,@ oskzilla niggah you gay
4361,1,@Oskzilla not fair! You're still a faggot -.-,@ oskzilla fair ||| you faggot
4362,1,@Oskzilla you wish niggah!!!,@ oskzilla you wish niggah
4363,1,@OsvaldoVause kik me u nigglet I need to know when we outs to the pool,@ osvaldovause kik u nigglet need know pool
4364,1,@OsvaldoVause text me u nigglet,@ osvaldovause text u nigglet
4365,1,@OttawaPolitico Where does that fucking muzzie edict come from? Feds or Prov govt's?,@ ottawapolitico fuck muzzie edict come ||| fed prov govt 's
4366,1,"@OurCofE An end to the ordination of women and faggots, whose only aim is to weaken and split our communion.",@ ourcofe end ordination woman faggot | aim weaken split communion
4367,1,@OutterSpaceSWAG @ChipChipperson @out,@ outterspaceswag @ chipchipperson @
Chippah I hopes you ain't be hangin wit dis wigger boy,,"",""
4368,1,"@Oxy_Jon @conleyfanclub one charlotte store, but of course they are faggots",@ oxy | jon @ conleyfanclub charlotte store | ||| course faggot
4369,1,@Oz_lito bitch been on there for ah mintue cdfuuuu,@ oz | lito bitch ah mintue cdfuu
4370,2,@PCMag Overpriced complete trash. Not even debatable.,@ pcmag overprice complete trash ||| debatable
4371,1,@PDaburei bitch nigga,@ pdaburei bitch nigga
4372,1,@PERRO5070 bitch tits,@ perro5070 bitch tit
4373,1,@PRoseish I know you are a pussy ass coward that is weaker and smaller like GZ,@ proseish know you pussy ass coward weak smaller like gz
4374,1,@PRoseish we don't send pussy ass cowards to old sparky,@ proseish send pussy ass coward old sparky
4375,1,@PRoseish yeah because George Zimmerman is a pussy ass coward.,@ proseish yeah ||| george zimmerman pussy ass coward
4376,2,@PWilliamsD I need some clams on the half shell :-). Down here all you can get is deep fried clam necks.,@ pwilliamsd need clam half shell :-) ||| you deep fry clam neck
4377,1,@PabloMuchoLive she a hoe not a housewife &#128527;,@ pablomucholive hoe housewife
4378,0,@PablyAndrew it was Paul McCartney faggot,@ pablyandrew paul mccartney faggot
4379,1,@PacDaGoat neck TITTIES then pussy,@ pacdagoat neck titty pussy
4380,1,@PacTha_Mac imma shoot that bitch,@ pactha | mac imma shoot bitch
4381,1,"@Pacific_Tomb yeah, us crackers are the devil.",@ pacific | tomb yeah | cracker devil
4382,1,"@Pacman_Dre_SB I said something to you gorilla, stop listening to monkey music",@ pacman | dre | sb say you gorilla | stop listen monkey music
4383,1,@Paid_My_Dues_ YEAH! When you see him again.....That son of a bitch owes me money! Tell him I been looking for him!,@ pay | | | yeah ||| you ||| son bitch owe money ||| tell look
4384,1,@Paixj_ right these hoes ain't loyal,@ paixj | right hoe ai n't loyal
4385,1,@PamSchep This bitch is not only an idiot but a troll! #spamblocked so keep spewing ur shit @CalFreedomMom @RalphyBoyUSA @ABC @scottddolan,@ pamschep bitch idiot troll ||| spamblocked spew ur shit @ calfreedommom @ ralphyboyusa @ abc @ scottddolan
4386,1,@Pandah_Pooh put your money up pussy,@ pandah | pooh your money pussy
4387,2,@Param0nster_ you and me having Twitter bird shaped pancakes that would just be a start,@ param0nster | you twitter bird shape pancake just start
4388,1,@ParhamBryce @lllexiss @lukejohnson06 @laurenbeckkkk1 alright then we'll in calling you a pussy also,@ parhambryce @ llexiss @ lukejohnson06 @ laurenbeckk1 alright 'll you pussy
4389,0,"@PatDollard Fuckin muzzie cunts, should all be deported, savages",@ patdollard fuckin muzzie cunt | deport | savage
4390,1,"@Patchy_Beard G's up, hos down, Rush. I mean clearly he likes to party.",@ patchy | beard g 's | ho | rush ||| mean clearly like party
4391,0,@PatriotsOrg Screw the ragheads.,@ patriotsorg screw raghead
4392,1,@Pattty_B I called your bitch ass &#128530;,@ patty | b your bitch ass
4393,1,"@PaulConroy @habeshasuperman oh, it's coming up, little bitch, and the U.S. Has no veto over it. It'll be a thrill to watch.",@ paulconroy @ habeshasuperman oh | come | little bitch | u.s. veto ||| 'll thrill watch
4394,0,@PaulMoon8 @yurista4life @justinmiculka01 you fuckin Yankees I'll be there in 2 months I'll meet you pussy,@ paulmoon8 @ yurista4life @ justinmiculka01 you fuckin yankee 'll month 'll meet you pussy
4395,2,@Paulyy2 nah some honkey lookin dude at chr,@ paulyy2 nah honkey lookin dude chr
4396,0,@Pecan_B19 @ObeyMy_Realness dryer then them bad ass eyes of your fag,@ pecan | b19 @ obeymy | realness dryer bid ass eye your fag
4397,1,"@PenguinGraham Yup, he did, like a straight bitch",@ penguingraham yup | | like straight bitch
4398,1,@PennyTheGOAT,@ pennythegoat
The Biebs is getting fucked right in the pussy,,"",""
4399,1,@PennyTheGOAT,@ pennythegoat
This look more like your little baby son of a bitch. http://t.co/GO58cT7ue7,,"",""
4400,1,@PennyTheGOAT right in the pussy,@ pennythegoat right pussy
4401,2,@Pepper_Redbone @Yankees @Mets Exactly by folks who can't favor to get into that lovely old stadium.,@ pepper | redbone @ yankee @ met exactly folk favor lovely old stadium
4402,2,@Pepper_Redbone @Yankees @Mets I miss NYC!! Nashville needs a pro AL team. The closest is KC or Tampa. That's pretty bad. The south is NL.,@ pepper | redbone @ yankee @ met miss nyc ||| nashville need pro al team ||| closest kc tampa ||| 's pretty bid ||| south nl
4403,2,@Pepper_Redbone @Yankees @Mets I miss the pizza! The passion.,@ pepper | redbone @ yankee @ met miss pizza ||| passion
4404,2,@Pepper_Redbone @Yankees @Mets Oh yeah. And the annoying damn duck calls?? They outta be banned. Duck horns??,@ pepper | redbone @ yankee @ met oh yeah ||| annoy damn duck ||| outta ban ||| duck horn
4405,2,@Pepper_Redbone @Yankees Just getting in! I hope so. Cause they stunk it up last night.,@ pepper | redbone @ yankee just ||| hope ||| cause stink night
4406,1,@PerezHilton \the whole bunch of the trash needs 2 jus go away. they r jus trash!!!,@ perezhilton | bunch trash need jus away ||| r jus trash
4407,1,@PerezHilton omg... ppl gonna bitch...,@ perezhilton omg ||| ppl gonna bitch
4408,2,@Persianboi10 @RyanTBurnss HAHAHA ""chunky goalkeeper makes a save with his stomach"",@ persianboi10 @ ryantburnss hahaha " " chunky goalkeeper save stomach " "
4409,2,@Pete_OR i prefer zebra visually. Didn't know about lesser costs.,@ pete | prefer zebra visually ||| know lesser cost
4410,2,@PeterClifford1 @Penny_G @AngryBraveHeart @SheikhKhalifaPM love H.birds! Used to feed them when I lived in WA state. Hv them on mtn in S.Ore,@ peterclifford1 @ penny | g @ angrybraveheart @ sheikhkhalifapm love h bird ||| use feed ||| live wa state ||| hv mtn s ore
4411,2,"@PhantomGourmet Someone gave me a nip of Baileys irish cream coffee, what can i use it with,suggestions?",@ phantomgourmet nip bailey irish cream coffee ||| use | suggestion
4412,2,@PhilHecken I don&#8217;t understand how it&#8217;s weak to give anything to Jeter when the Astros barely have any history with the Yankees,@ philhecken donand | ||| t understand itand | ||| s weak jeter astro barely history yankee
4413,1,@Piercethetit @Xenoss_ I don't love these hoes,@ piercethetit @ xenoss | love hoe
4414,1,@PimpBillClinton @tareksaadmisr that's Arabic for ""you one pussy gettin motha fucka"",@ pimpbillclinton @ tareksaadmisr 's arabic " " you pussy gettin motha fucka " "
4415,1,@PinchSuckBlow lmoa @ high as giraffe pussy,@ pinchsuckblow lmoa @ high giraffe pussy
4416,2,@Pinche_Escobar too make up for your yellow chompers? #candyass,@ pinche | escobar your yellow chompers ||| candyass
4417,1,@PinkChocolateBK I thought it was beyond retarded & not scary at all!,@ pinkchocolatebk think retard scary
4418,1,@Pipe_Tyson Me? Nigga YOU the pussy. I got hands for you dawg!,@ pipe | tyson ||| nigga you pussy ||| hand you dawg
4419,2,"@PlannedSickDays hey, do you have that screen shot of djk's wiki page being updated regarding the trash can incident?",@ plannedsickdays hey | you screen shoot djk 's wiki page update regard trash incident
4420,1,@PlasticDom can we plz go to Starbucks and do that. Ebola sounds like a really ghetto hood name tbh.,@ plasticdom plz starbucks ||| ebola sound like really ghetto hood tbh
4421,1,@Pnolia_jay shut up bitch nigga,@ pnolia | jay shut bitch nigga
4422,0,@Po0pdogg back up faggot,@ po0pdogg faggot
4423,1,@Poffalicious hell no man I'm retarded good at situps.. that run was weak tho,@ poffalicious hell man retard good situps ||| run weak tho
4424,1,@Pohlman2 do I look like mike Vick bitch,@ pohlman2 look like mike vick bitch
4425,1,@Police_TactGear Article is flawed. Took my first CHP with BRPD. Was well done. Even had 2 ghetto gals with a jammy Hi-purnt 9 but well done,@ police | tactgear article flaw ||| chp brpd ||| ||| ghetto gal jammy hi | purnt
4426,2,@PowlengMawi yung nakalagay sa second page ng handout na may closed ended questions etc. Tapos lalagay sa 1/2 yellow pad,@ powlengmawi yung nakalagay sa second page ng handout na close end question etc. tapos lalagay sa | yellow pad
4427,1,@PraviKingDino bitch,@ pravikingdino bitch
4428,1,@PraviKingDino you like men faggot.,@ pravikingdino you like man faggot
4429,0,@PrayForJack new york niggas quick to take off on a bitch in public boy lol!!!!!,@ prayforjack new york new york nigga quick bitch public boy lol
4430,1,@Pretty_WarZone shouldve caught it the first time nigger,@ pretty | warzone shouldve catch time nigger
4431,1,@Prettyflacko21 taking off like a bitch bra,@ prettyflacko21 like bitch bra
4432,1,@Pribski86 idgaf hoe,@ pribski86 idgaf hoe
4433,1,@PrimoMars nicca u read what i typed u aint slo by a long shot dont play dumb now litebrite lol,@ primomars nicca u read type u aint slo long shoot dont play dumb litebrite lol
4434,2,"@PrinceDemitri @TheWeek @russlljones Typical Hitchens type atheist and was watching a doc on how hollywood hates god, ready to mock it.",@ princedemitri @ theweek @ russlljones typical hitchens type atheist watch doc hollywood hate god | ready mock
4435,1,@PrinceGreenJr why hold back? Just say they're as retarded as their tits are fake there's no in between...,@ princegreenjr hold ||| just say 're retard ||| tit fake 's
4436,1,@Prince_WilliamB @MixyArts This nothing to do with my shoes you ignorant twat.,@ prince | williamb @ mixyarts shoe you ignorant twat
4437,1,@Princesslexii16 Damn you just called yourself a bitch bruh ? Lol &#9995;,@ princesslexii16 damn you just you bitch bruh ||| lol
4438,0,@Princesslexii16 Fucking coon,@ princesslexii16 fuck coon
4439,1,@PrissyPisces_ I'm talkin bout sluts and hoes in general,@ prissypisces | talkin bout slut hoe general
4440,2,@Progress4Ohio @msnbc @meetthepress Would not spend my money on trash like that!,@ progress4ohio @ msnbc @ meetthepress spend money trash like
4441,0,"@ProperEtacet fuck your mother, faggot",@ properetacet fuck your mother | faggot
4442,0,@Prophzilla I don't hate that he blew up from 3005 like a hipster but I hate the faggots who say they love his music based off his worst +,@ prophzilla hate blow like hipster ||| hate faggot say love music base worst
4443,1,@Prophzilla I honesty think the internet is just full of retards.,@ prophzilla honesty think internet just retard
4444,1,@Prophzilla before I went off to college I wanted to get a ukulele but quickly realised I'd be a bigger fag than the guitar kid in the quad.,@ prophzilla ||| college want ukulele ||| quickly realise 'd bigger fag guitar kid quad
4445,2,@ProsperINDIA ho no. Without ur vote we lost the election. AK49 is taking oath as PM today. :-),@ prosperindia ho no. ur vote lose election ||| ak49 oath pm today :-)
4446,1,@ProtectYourNet I know right? But here I am wasting time thinking '1more hr till I start the day...',@ protectyournet know right ||| waste time think | hr ||| till start day
I'm retarded! &#128541;,,"",""
4447,2,@Pudingtane ....yeah....I don't think its about #injuns. I think #redskins is about #politics and #alcoholism in #WashingtonDC .....,@ pudingtane ||| yeah ||| think | injun ||| think | redskin | politics | alcoholism | washingtondc
4448,2,"@PushinUpRoses My current favorite line is Shea Moisture. It's at Target and CVS. Great for dry, curly, and/or colored hair.",@ pushinuproses current favorite line shea moisture ||| target cvs ||| great dry | curly | | color hair
4449,1,@PussyBeezus_ whatever hoe,@ pussybeezus | hoe
4450,1,@PzFeed This guy would SO get a show on Spike if they could somehow revive the son of a bitch. I'd watch.,@ pzfeed guy spike ||| revive son bitch ||| 'd watch
4451,0,@QUAN1T0 You retarded bruh lol,@ quan1t0 you retard bruh lol
4452,2,"@QVC strawberry shortcake. Stacked with whipped cream, yellow spunge-cake, &amp; sliced #strawberries freshly picked from the farm w/ my kids.",@ qvc strawberry shortcake ||| stack whip cream | yellow spunge | cake | andamp | slice | strawberry freshly pick farm w | kid
4453,1,@QovEm Just played against a Heimer support. Biggest faggot ever. Stupid cheese champion.,@ qovem just play heimer support ||| biggest faggot ||| stupid cheese champion
4454,1,@QuantRyse @HairyPotterZ @Hockeypuck55 if I get blocked I'll be on that bitches porch drunk and yelling. Holy shit.she was right..I am kanye,@ quantryse @ hairypotterz @ hockeypuck55 ||| block 'll bitch porch drink yell ||| holy shit.she right kanye
4455,1,@QuavoStuntin my bitch got the dope in her panties sssshhhhh you to Dramatic,@ quavostuntin bitch dope panty sshh you dramatic
4456,1,"@QueChele u know how Hispanics be takin All the jobs these niggers won't? Yeah, somethin like a hispanic",@ quechele u know hispanic takin job nigger ||| yeah | somethin like hispanic
4457,1,@QueenIttyBitty lmfao I wasn't scanning anything..the fat hoes was hittin me up,@ queenittybitty lmfao n't scan fat hoe hittin
4458,1,@QueenSAVage97 @FresH_BoY_Will how you gonna compare sushi to pussy tho there ain't no dicks going in your sushi &#128514;,@ queensavage97 @ fresh | boy | you gonna compare sushi pussy tho ai n't dick your sushi
4459,2,@QueenSAVage97 naw I Juss like making you a lil mad &#128514; I have been gone for too long tho I hate the boonies&#128589;&#128564;,@ queensavage97 naw juss like you lil mad | ||| ; long ||| tho hate booniesand |
4460,1,"@QueenShyba laughin at my screenshots. no bitch, this might be a code red.",@ queenshyba laughin screenshot ||| bitch | code red.
4461,1,@Queen_Kaaat how about I just fuck you right in the pussy,@ queen | kaat just fuck you right pussy
4462,0,@Qui_ThePharaoh @zApollo0803 @MildlyDarkSkin hes a lying faggot. he used inspect element to change the number of dollars in his account.,@ qui | thepharaoh @ zapollo0803 @ mildlydarkskin hes lie faggot ||| use inspect element change number dollar account
4463,1,@R3lentlssTr0ll @AnastasiaPacana yes i like dick and i hate bitches. who am i now?,@ r3lentlsstr0ll @ anastasiapacana yes like dick ||| hate bitch |||
4464,1,@RAEPaelMunturo @WorldStarFunny aye sae en feeld kawkin dyke,@ raepaelmunturo @ worldstarfunny aye sae en feeld kawkin dyke
4465,1,@RAEPaelMunturo apparently not many bitches have seen that,@ raepaelmunturo apparently bitch
4466,1,@RBesofii,@ rbesofii
Cants even fool a colored man wit dis bullshit http://t.co/gtln1tpMgi,,"",""
4467,1,@REAL_Kaysavage that bitch was going or nawl,@ real | kaysavage bitch nawl
4468,1,@REM_2014 @FunnyPicsDepot @DavetheBrave1 bitch ass voices in his head haha,@ rem | @ funnypicsdepot @ davethebrave1 bitch ass voice head haha
4469,1,@REM_2014 @SupahFienMode bitch ass Jorge Haha ain't you at work nigga?,@ rem | @ supahfienmode bitch ass jorge haha ai n't you work nigga
4470,1,@REM_2014 I'm drunk that hoe by myself bro solo dolo,@ rem | drink hoe bro solo dolo
4471,1,@REM_2014 biiiiiiiitch don't start with this again haha my niggggg grandma come over hoe!! If ya want I'll try to scoop ya up today if ya,@ rem | biitch start haha nigg grandma come hoe ||| ya want 'll try scoop ya today ya
4472,1,@RFam2550 shut up faggot,@ rfam2550 shut faggot
4473,1,@RFradsham fuck you bitch #shrimp #shorty #midget #dwarf #infant #jk,@ rfradsham fuck you bitch | shrimp | shorty | midget | dwarf | infant | jk
4474,1,@RHook220 @ohwait_itsKate @EjPeruski5634 pussy x3,@ rhook220 @ ohwait | itskate @ ejperuski5634 pussy x3
4475,1,@RJ_diggins86 get some sleep pussy.,@ rj | diggins86 sleep pussy
4476,1,"@RNIC_BAM - you heard me.&#128530; letting people know you having relationship problems &amp; arguing on here, that's what them hoes like, so stop.",@ rnic | bam | you hear me.and | ||| let people know you relationship problem andamp ; argue | 's hoe like | stop
4477,2,@RPopBox @boxing Yeah he definitely wasn't the same guy who fought Lara but he cuts the ring off well which should be a huge boon to Canelo,@ rpopbox @ box yeah definitely n't guy fight lara ||| cut ring huge boon canelo
4478,0,@RSBerto Dumb Haitian fake black faggots. Go to Haiti and neck yourself.,@ rsberto dumb haitian fake black faggot ||| haiti neck you
4479,0,@RabehChararah1 lmaoo what a fag,@ rabehchararah1 lmaoo fag
4480,1,@Rachijuana I popped a Molly every day last year #beat#that#bitch,@ rachijuana pop molly day year | beat | | bitch
4481,1,"@RacistNegro69 @MrMooncricket fuck you, punk ass racist lil dick bitch. I've reported you fool.",@ racistnegro69 @ mrmooncricket fuck you | punk ass racist lil dick bitch ||| 've report you fool
4482,2,"@RainCaudillo word. Do any of ur decisions include anchor, feather, infinity sign, bird?",@ raincaudillo word ||| ur decision include anchor | feather | infinity sign | bird
4483,2,"@RainaluvsA in that picture yes, I haven't had an updated pic added the angel wing is colored now too, and thanks represents what I am ;)",@ rainaluvsa picture yes | update pic add angel wing color | thank represent ;)
4484,1,"@RainaluvsA intimidated?! What pussies, all I see is a sweet, honest woman, but seriously you could make this stalking thing so much easier!",@ rainaluvsa intimidate ||| pussy | sweet | honest woman | ||| seriously you stalk thing easier
4485,1,@Rams_6 happy birthday bitch!,@ ram | happy birthday bitch
4486,1,@Ranae_26 i can't why you up hoe &#9825;&#9825;,@ ranae | you hoe |
4487,1,@Rasheed_Sheen everything but im outside come get this bitch,@ rasheed | sheen im outside come bitch
4488,1,@Rasheed_Sheen man damn dude come get this bitch lml,@ rasheed | sheen man damn dude come bitch lml
4489,2,@RatchetSue the only thing better than a bargain is a Yankee bargain.,@ ratchetsue thing better bargain yankee bargain
4490,1,@Raul_leura @no_way_hoesaaay lmao that nigga was about to go Beethoven on that bitch &#128514;,@ raul | leura @ | way | hoesaay lmao ||| nigga beethoven bitch
4491,1,@RavenPeltier_ @Jesuslovinj @_B_R_Y_C_E_ still a bitch though,@ ravenpeltier | @ jesuslovinj @ | b | r | y | c | e | bitch
4492,1,@RavenPeltier_ these hoes ain't loyal,@ ravenpeltier | hoe ai n't loyal
4493,2,@Rawker8 @Ronnie2K @NBA2K get some money and stop playing that old trash.,@ rawker8 @ ronnie2k @ nba2k money stop play old trash
4494,1,@Ray_Lakee #fag,@ ray | lakee | fag
Fuckin pirelli tire black ass nigga whit a white boy shirt on but my nigga did loosen up a lil bit.#bowbow,,"",""
4495,1,@Ray_dec15 haha yeah they do say im a little bitch,@ ray | dec15 haha yeah say im little bitch
4496,1,"@RealFannyMagnet with pick up lines like you have...I bet you get so much pussy, the numbers are in the negative.",@ realfannymagnet pick line ||| like you ||| bet you pussy ||| number negative
4497,2,"@RealGilbert &amp; the hunters anthem goes ""Al Goreing we will go, Hi ho the dairy O Al Goreing we will go""",@ realgilbert andamp ||| hunter anthem " " al goreing ||| hi ho dairy o al goreing " "
4498,1,@RealNiggaSherm bitch,@ realniggasherm bitch
4499,1,@RealNiggaSherm wen he ho dwn da road,@ realniggasherm wen ho dwn da road
